iter	Passed	Remaining
0	57	57929
1	58	29147
2	58	19536
3	59	14718
4	59	11825
5	59	9903
6	60	8528
7	60	7506
8	60	6701
9	61	6057
10	61	5531
11	61	5093
12	62	4718
13	62	4400
14	62	4123
15	63	3877
16	63	3663
17	63	3473
18	63	3302
19	64	3148
20	64	3008
21	64	2881
22	65	2765
23	65	2658
24	65	2561
25	65	2470
26	66	2387
27	66	2309
28	66	2236
29	67	2170
30	67	2107
31	67	2048
32	68	1992
33	68	1939
34	68	1891
35	68	1845
36	69	1801
37	69	1760
38	69	1721
39	70	1684
40	70	1649
41	70	1616
42	71	1584
43	71	1554
44	71	1523
45	72	1494
46	72	1466
47	72	1441
48	72	1416
49	73	1394
50	73	1370
51	73	1348
52	74	1326
53	74	1304
54	74	1284
55	75	1264
56	75	1245
57	75	1226
58	75	1208
59	76	1191
60	76	1174
61	76	1157
62	76	1141
63	77	1126
64	77	1112
65	77	1098
66	77	1084
67	78	1070
68	78	1057
69	78	1044
70	78	1032
71	79	1020
72	79	1008
73	79	996
74	79	985
75	80	974
76	80	964
77	80	953
78	80	943
79	81	933
80	81	924
81	81	914
82	81	904
83	82	895
84	82	886
85	82	878
86	82	870
87	83	861
88	83	853
89	83	845
90	83	838
91	84	830
92	84	823
93	84	816
94	84	809
95	85	803
96	85	796
97	85	790
98	86	784
99	86	778
100	86	773
101	87	767
102	87	761
103	87	755
104	88	751
105	88	745
106	88	740
107	89	735
108	89	730
109	89	724
110	89	719
111	90	714
112	90	708
113	90	704
114	90	699
115	91	696
116	91	691
117	91	686
118	92	681
119	92	677
120	92	673
121	92	668
122	93	663
123	93	659
124	93	655
125	93	651
126	94	646
127	94	642
128	94	639
129	94	635
130	95	631
131	95	627
132	95	623
133	95	620
134	96	616
135	96	612
136	96	609
137	97	606
138	97	602
139	97	599
140	97	596
141	97	591
142	98	588
143	98	586
144	99	584
145	99	581
146	99	578
147	100	577
148	100	574
149	100	571
150	101	568
151	101	565
152	101	562
153	101	559
154	102	556
155	102	553
156	102	551
157	102	548
158	103	545
159	103	543
160	103	539
161	103	537
162	104	534
163	104	531
164	104	529
165	104	526
166	105	523
167	105	521
168	105	519
169	105	517
170	106	514
171	106	512
172	106	510
173	107	508
174	107	505
175	107	503
176	107	501
177	108	499
178	108	496
179	108	494
180	108	492
181	109	490
182	109	488
183	109	486
184	109	484
185	110	482
186	110	480
187	110	478
188	110	475
189	111	474
190	111	472
191	111	470
192	112	469
193	112	467
194	112	466
195	113	464
196	113	463
197	113	461
198	114	460
199	114	458
200	114	456
201	115	455
202	115	453
203	115	451
204	116	450
205	116	448
206	116	446
207	116	445
208	117	443
209	117	441
210	117	440
211	117	438
212	118	436
213	118	435
214	118	433
215	119	432
216	119	430
217	119	429
218	119	427
219	120	426
220	120	424
221	120	422
222	120	421
223	121	419
224	121	418
225	121	416
226	121	415
227	122	413
228	122	412
229	122	410
230	122	409
231	123	407
232	123	406
233	123	405
234	124	403
235	124	402
236	124	400
237	124	399
238	125	398
239	125	396
240	125	395
241	125	394
242	126	392
243	126	391
244	126	390
245	126	389
246	127	387
247	127	386
248	127	385
249	128	384
250	128	383
251	128	382
252	129	381
253	129	380
254	129	379
255	130	378
256	130	377
257	130	376
258	131	375
259	131	374
